at,sale,gsector
4089.149,1042.316,25
747.309,491.883,25
5139.141,231.001,40
461.852,308.487,35
2489.937,231.242,60
461.087,466.449,20
9279.021,483.384,40
22359.752,999.508,40
477.346,653.163,25
430.949,295.905,25
2436.386,2055.146,25
717.314,22.813,35
5526.42,252.753,40
5881.229,398.216,40
707.846,164.307,35
720.22,15.325,35
5896.9,1236.3,60
251.926,85.552,35
1187.676,1653.225,25
6028.712,1530.268,55
1654.9,764.3,45
1090.991,50.578,60
8967.897,380.183,40
3108.914,3405.67,50
1045.508,1427.448,25
1503.559,178.332,60
203.453,360.093,45
1863.293,573.452,40
6077.722,1334.1,45
19628.449,783.54,40
1985.648,546.212,45
586.792,445.887,25
938.96,221.628,50
253.19,187.802,35
1766,411,60
2283.115,100.222,40
6336.496,282.273,40
290.811,225.527,45
1157.292,160.84,60
2335,6345.6,20
644.139,295.307,35
5713.169,269.378,40
1416.702,402.751,45
1544.264,774.533,25
2388.919,1819.982,25
1063.742,434.908,45
1196.444,943.276,40
685.617,77.208,60
1390.677,925.925,35
994,830.7,15
14419.314,475.762,40
130.278,277.891,20
1351.682,770.77,45
4837,1961,25
3798.071,217.362,40
784.1,800.354,35
2607.912,841.434,45
2413.832,1982.78,20
3380.5,4131.6,15
57.626,41.176,35
7776.5,3094.3,35
2157.279,1029.564,45
7218,4221,45
469.057,71.857,35
1008,1619,20
7872.303,374.408,40
3604.7,1953.5,30
15168.992,1764.046,40
1389.794,1136.383,15
2089.379,592.285,40
30770.423,2292.234,40
2529.865,1738.899,15
458.061,278.678,50
4523.532,1466.624,10
2321.181,105.89,40
771.399,891.925,25
631.236,349.846,35
843.811,1395.529,20
6957.16,298.538,40
95948,16472,40
774.829,1200.55,45
2137.76,2257.075,20
4086,604,50
366.667,554.89,55
4738.919,2317.512,45
94853,49301,45
16958.955,779.648,40
2710.407,733.57,35
7195.8,3776.4,35
498.25,502.028,40
2159.246,1114.2,35
920.27,109.832,60
4613.4,585.7,40
869.821,339.41,35
227.381,80.554,35
261.863,17.403,35
1379.2,718.5,40
93.425,11.165,35
605.221,426.087,25
443.182,279.471,30
21371.124,50.706,50
396.239,296.576,20
1672.8,714.8,35
2379.996,3562.459,20
1653.799,4136.38,20
14341.9,5111.4,40
6355,8265,20
93.742,20.993,35
4569.929,14145.156,25
449.008,514.551,20
2762.918,128.047,40
8554.097,697.944,60
12604.439,500.689,40
9004.34,697.768,60
8820.871,369.194,40
211.815,34.185,35
4178.501,3183.365,35
72.501,21.366,45
2854.1,1960.1,45
