,Ticker,Book/Price,E/P,EBIT/P,SALES/P,RetYTD
1432,LPSN,0.1354302789915604,-0.04843580870569307,-0.03206303725905614,0.18201080406806538,-0.294
1433,SGMO,0.3429622218262725,-0.16290529643690924,-0.17222625786379026,0.10115084314451099,-0.2987
1434,EXEL,0.37928126999294226,0.03964411174645029,0.04918407074221282,0.24620173300270395,0.2631
1435,ON,0.15610634320065137,0.034371039406677205,0.04695718567118647,0.22945119987432944,-0.2158
1436,CEVA,0.27843843780996214,0.00039844189097301724,0.0046867230508896825,0.12364376316694493,-0.1931
1437,NRG,0.3428270289309216,0.20826742007553486,0.3632061912062597,2.3216055939741493,-0.0903
1438,INSM,0.1269060926079455,-0.13438377845876887,-0.11351637877236051,0.05826726838385944,-0.0584
1439,PACW,0.7404453648455799,0.11236538834874933,0.17919509827215993,0.2504151297571432,-0.1736
1440,VC,0.1659029077667607,0.013182207787668971,0.025399863785996308,0.8915673706147819,-0.1493
1441,ISRG,0.09259999155005917,0.013263139171692605,0.014161820724156816,0.044429104179445,-0.2215
1442,CRL,0.13327231358826808,0.02055651908670763,0.03333732144658269,0.18612971085625138,-0.2446
1443,MRVL,0.26272715375267486,-0.008636250235461758,0.0013312939601621658,0.09246429229227189,-0.3031
1444,BHLB,0.8546058098855696,0.08576449768846595,0.12530041045522305,0.3031007142866383,-0.0169
1445,ENTG,0.09125590737991617,0.021785259821829963,0.029885549414464606,0.12241212073440982,-0.2054
1446,ACLS,0.21746472203715464,0.03980431689417063,0.05137440089762063,0.26728326438491296,-0.2432
1447,EVC,0.4375931345468339,0.049889766302927144,0.11109550991421997,1.2947494614691653,-0.1844
1448,ILMN,0.17981191071417807,0.012757604838380232,0.005257070760172432,0.0757754849061797,-0.1155
1449,CRIS,0.207933792754376,-0.10415601670860936,-0.09642844534835049,0.024411423143101966,-0.7248
1450,BRKR,0.08462605702747689,0.021905539843357164,0.034087581308031786,0.19114184333184153,-0.2594
1451,EQIX,0.14204783278030195,0.00652917773696357,0.014620895967109719,0.08661611355101959,-0.1308
1452,PNFP,0.7004567666253212,0.07251758935532777,0.10736934562296775,0.1962342418127149,-0.1107
1453,MCO,0.037610021103648986,0.03053486861880413,0.03952707021747635,0.08575691647322677,-0.1592
1454,TTMI,0.9434575767010576,0.03527325885200692,0.08442401109732739,1.4577202210986515,-0.0872
1455,DRRX,0.2574155750687647,-0.1615585447002311,-0.15268429622255675,0.062266752496212045,-0.5168
1456,ITGR,0.4787148343694773,0.03420943996010943,0.051102135479623015,0.43149769375516966,-0.0458
1457,TNET,0.14019483498421847,0.053786440663638864,0.07351874433905667,0.7224569248902972,0.0078
1458,INSG,-0.04045436828153558,-0.07833211851407822,-0.07352883369880456,0.4271017052670256,-0.434
1459,EXAS,0.2506195247186608,-0.044064726673867065,-0.04509017251046974,0.13073025085237142,-0.1056
1460,ALGN,0.07003575244938887,0.014924998662874627,0.018878164936519424,0.07641293090191918,-0.3764
1461,GRMN,0.23312077023771496,0.04126214211165512,0.04646356645731395,0.18998410220222192,-0.1826
1462,SGEN,0.10811509835385878,-0.023790274601519047,-0.024057816471892306,0.05553199235351578,-0.0316
1463,HBIO,0.2875320000489557,-0.0009929043538338777,0.02250583202023456,0.40993159475091456,-0.166
1464,DVAX,0.1285520596849592,0.044346974712026914,0.0786629415739751,0.2540367768357714,-0.253
1465,ACAD,0.143929683494716,-0.044669521141402886,-0.0453531215453599,0.12882900645144754,0.0056
1466,GPN,0.665797172722326,0.025081765917806594,0.04561604915034757,0.22143952439572326,0.0353
1467,OIS,1.677414118758116,-0.20977964630298657,-0.20215791146238768,1.87891662923548,0.5111
1468,NOG,0.13515940294114523,0.003996360214883931,0.04897850117782367,0.3121816372293052,0.4028
1469,SYNA,0.09455499951680363,0.007781821713748519,0.014615356108108086,0.13096141165499392,-0.4721
1470,MDLZ,0.30634255019734696,0.04659779142695504,0.054400212317049834,0.3112298999493369,-0.0391
1471,OMCL,0.1438457207618857,0.00976572158239247,0.013043458473378004,0.14200532587774742,-0.3354
1472,PRU,1.519205020096856,0.18964282719031803,0.2928857179639181,1.7419444981225638,0.0831
